key,context,font_role,note,ko-KR,en-US
status.fire.name,상태 이름,title,,화상,Fire
status.fire.description,상태 설명,tooltip,,매 틱마다 스택 수만큼 피해를 받습니다.,Takes damage equal to its stacks each tick.
status.stun.name,상태 이름,title,,기절,Stun
status.stun.description,상태 설명,tooltip,,행동할 수 없습니다.,Cannot act.
status.emergency_kit.name,상태 이름,title,,응급 키트,Emergency Kit
status.emergency_kit.description,상태 설명,tooltip,,효과 없이 스택만 누적되는 영구 상태입니다.,A permanent status that only stores stacks.
status.opening.name,상태 이름,title,,빈틈,Opening
status.opening.description,상태 설명,tooltip,,받는 피해가 10% 증가합니다.,Takes 10% more damage.
ui.settings.language,설정 UI,body,,언어,Language
ui.settings.font,설정 UI,body,,글꼴,Font
item.client.soft_credit.name,아이템 이름,title,,인게임 크레딧,In-Game Credit
item.client.soft_credit.description,아이템 설명,tooltip,,게임 플레이에서 획득하고 사용하는 기본 재화입니다.,Basic currency earned and spent through gameplay.
item.client.paid_credit.name,아이템 이름,title,,유료 크레딧,Paid Credit
item.client.paid_credit.description,아이템 설명,tooltip,,결제를 통해 획득하는 유료 재화입니다.,Premium currency obtained through purchases.
item.client.free_credit.name,아이템 이름,title,,무료 크레딧,Free Credit
item.client.free_credit.description,아이템 설명,tooltip,,게임 보상으로 획득하는 무료 프리미엄 재화입니다.,Free premium currency earned as gameplay rewards.
item.client.standard_recruit_ticket.name,아이템 이름,title,,일반 모집권,Standard Recruit Ticket
item.client.standard_recruit_ticket.description,아이템 설명,tooltip,,일반 모집에서 1회 사용할 수 있는 모집권입니다.,A ticket used for one standard recruitment.
item.client.basic_upgrade_material.name,아이템 이름,title,,기초 강화 재료,Basic Upgrade Material
item.client.basic_upgrade_material.description,아이템 설명,tooltip,,대원과 장비 강화에 사용하는 기초 재료입니다.,A basic material used for operator and equipment upgrades.
codex.skill.title,기술 도감 제목,title,,기술 도감,Skill Codex
codex.skill.description,기술 도감 설명,body,,재사용 가능한 전투 기술,Reusable Battle Skills
codex.item.title,아이템 도감 제목,title,,아이템 도감,Item Codex
codex.item.description,아이템 도감 설명,body,,소모형 전투 아이템,Consumable Battle Items
codex.battle.back,코덱스 돌아가기 버튼,body,,코덱스로 돌아가기,Back to Codex
codex.battle.classification.reusable,전투 카드 분류,body,,재사용 기술,Reusable Skill
codex.battle.classification.consumable,전투 카드 분류,body,,소모형 아이템,Consumable Item
codex.battle.target.enemy,전투 카드 대상,body,,적 1기,One Enemy
codex.battle.target.turret,전투 카드 대상,body,,터렛 1기,One Turret
codex.battle.resource.reusable,전투 카드 자원 정보,number,,[style=energy]에너지 코스트 {cost}[/style] | 대상 {target} | 쿨다운 {cooldown:0.#}초,[style=energy]Energy Cost {cost}[/style] | Target {target} | Cooldown {cooldown:0.#}s
codex.battle.resource.consumable,전투 카드 자원 정보,number,,[style=energy]에너지 코스트 {cost}[/style] | 대상 {target},[style=energy]Energy Cost {cost}[/style] | Target {target}
codex.battle.effect_title,전투 카드 효과 제목,title,,효과,Effect
codex.battle.usage.reusable,전투 카드 사용 규칙,body,,효과 적용에 성공하면 쿨다운이 시작되며 사용 후에도 기술이 유지됩니다.,The cooldown starts after a successful use and the skill remains available.
