key,context,font_role,note,ko-KR,en-US
ui.settings.language,설정 UI,body,,언어,Language
ui.settings.font,설정 UI,body,,글꼴,Font
skill.focus.name,기술 이름,title,,집중,Focus
skill.focus.effect,기술 설명,tooltip,지속시간·쿨타임·코스트 변수,[icon=focus] [style=focus]집중[/style]: 선택한 적을 {duration:0.#}초 동안 무조건 최우선 대상으로 지정합니다. 재사용 대기시간 {cooldown:0.#}초.,[icon=focus] [style=focus]Focus[/style]: Force the selected enemy to become the highest-priority target for {duration:0.#} seconds. Cooldown: {cooldown:0.#} seconds.
skill.focus.usage,기술 사용 정보,number,에너지 코스트,[style=energy]코스트 {cost}[/style] | 재사용 가능,[style=energy]Cost {cost}[/style] | Reusable
item.molotov.name,아이템 이름,title,,화염병,Molotov
item.molotov.effect,아이템 설명,tooltip,화염 지속시간,선택한 적에게 [icon=fire] [style=fire]화염[/style]을 {duration:0.#}초 부여합니다.,Apply [icon=fire] [style=fire]Fire[/style] to the selected enemy for {duration:0.#} seconds.
item.molotov.usage,아이템 사용 정보,number,에너지 코스트,[style=energy]코스트 {cost}[/style] | 소모형,[style=energy]Cost {cost}[/style] | Consumable
item.precision_shot.name,아이템 이름,title,,지정 사격,Precision Shot
item.precision_shot.effect,아이템 설명,tooltip,직접 피해,선택한 적에게 [icon=damage] [style=damage]{damage} 피해[/style]를 즉시 줍니다.,Immediately deal [icon=damage] [style=damage]{damage} damage[/style] to the selected enemy.
item.precision_shot.usage,아이템 사용 정보,number,에너지 코스트,[style=energy]코스트 {cost}[/style] | 소모형,[style=energy]Cost {cost}[/style] | Consumable
item.over_supply.name,아이템 이름,title,,과잉 보급,Over Supply
item.over_supply.effect,아이템 설명,tooltip,공격 속도 강화,선택한 터렛의 [icon=speed] [style=positive]공격 속도를 {multiplier:0.#}배[/style]로 {duration:0.#}초 동안 증가시킵니다.,Increase the selected turret's [icon=speed] [style=positive]attack speed to x{multiplier:0.#}[/style] for {duration:0.#} seconds.
item.over_supply.usage,아이템 사용 정보,number,에너지 코스트,[style=energy]코스트 {cost}[/style] | 소모형,[style=energy]Cost {cost}[/style] | Consumable
item.overheat.name,아이템 이름,title,,과열,Overheat
item.overheat.effect,아이템 설명,tooltip,공격력 또는 화염 지속시간 강화,선택한 터렛의 [style=damage]공격력을 {multiplier:0.#}배[/style]로 {duration:0.#}초 동안 증가시킵니다. 화염 터렛은 공격력 대신 [icon=fire] [style=fire]화염 지속시간[/style]이 증가합니다.,Increase the selected turret's [style=damage]attack power to x{multiplier:0.#}[/style] for {duration:0.#} seconds. A Fire Turret increases [icon=fire] [style=fire]Fire duration[/style] instead.
item.overheat.usage,아이템 사용 정보,number,에너지 코스트,[style=energy]코스트 {cost}[/style] | 소모형,[style=energy]Cost {cost}[/style] | Consumable
codex.skill.title,기술 도감 제목,title,,기술 도감,Skill Codex
codex.skill.description,기술 도감 설명,body,,재사용 가능한 전투 기술,Reusable Battle Skills
codex.item.title,아이템 도감 제목,title,,아이템 도감,Item Codex
codex.item.description,아이템 도감 설명,body,,소모형 전투 아이템,Consumable Battle Items
codex.battle.back,코덱스 돌아가기 버튼,body,,코덱스로 돌아가기,Back to Codex
codex.battle.classification.reusable,전투 카드 분류,body,,재사용 기술,Reusable Skill
codex.battle.classification.consumable,전투 카드 분류,body,,소모형 아이템,Consumable Item
codex.battle.target.enemy,전투 카드 대상,body,,적 1기,One Enemy
codex.battle.target.turret,전투 카드 대상,body,,터렛 1기,One Turret
codex.battle.resource.reusable,전투 카드 자원 정보,number,,[style=energy]에너지 코스트 {cost}[/style] | 대상 {target} | 쿨다운 {cooldown:0.#}초,[style=energy]Energy Cost {cost}[/style] | Target {target} | Cooldown {cooldown:0.#}s
codex.battle.resource.consumable,전투 카드 자원 정보,number,,[style=energy]에너지 코스트 {cost}[/style] | 대상 {target},[style=energy]Energy Cost {cost}[/style] | Target {target}
codex.battle.effect_title,전투 카드 효과 제목,title,,효과,Effect
codex.battle.usage.reusable,전투 카드 사용 규칙,body,,효과 적용에 성공하면 쿨다운이 시작되며 사용 후에도 기술이 유지됩니다.,The cooldown starts after a successful use and the skill remains available.
codex.battle.usage.consumable,전투 카드 사용 규칙,body,,이벤트 보상으로 중복 획득할 수 있으며 효과 적용에 성공한 경우에만 1개를 소모합니다.,Copies can stack from event rewards and one is consumed only after a successful use.
codex.battle.empty_title,전투 카드 빈 상태 제목,title,,도감 항목 없음,No Codex Entries
codex.battle.empty_effect,전투 카드 빈 상태 설명,body,,표시 가능한 데이터가 없습니다.,No data is available.
ui.common.start,공통 버튼,body,,시작,START
ui.common.settings,공통 버튼,body,,설정,SETTINGS
ui.common.quit,공통 버튼,body,,종료,QUIT
ui.common.back,공통 버튼,body,,뒤로,BACK
ui.common.ok,공통 버튼,body,,확인,OK
ui.common.cancel,공통 버튼,body,,취소,CANCEL
ui.common.play,공통 버튼,body,,플레이,PLAY
ui.common.codex,공통 버튼,body,,도감,CODEX
ui.common.roster,공통 버튼,body,,목록,ROSTER
ui.common.shop,공통 버튼,body,,상점,SHOP
ui.common.quest,공통 버튼,body,,퀘스트,QUEST
ui.common.storage,공통 버튼,body,,보관함,STORAGE
ui.common.enemies,공통 버튼,body,,적,ENEMIES
ui.common.characters,공통 버튼,body,,캐릭터,CHARACTERS
ui.common.skills,공통 버튼,body,,기술,SKILLS
ui.common.items,공통 버튼,body,,아이템,ITEMS
ui.common.events,공통 버튼,body,,이벤트,EVENTS
ui.common.resources,공통 버튼,body,,자원,RESOURCES
ui.common.consumable_items,공통 버튼,body,,소모형 아이템,CONSUMABLE ITEMS
ui.common.tickets,공통 버튼,body,,티켓,TICKETS
ui.title.title,타이틀 페이지 제목,title,,타이틀,TITLE
ui.title.description,타이틀 페이지 설명,body,,PS260714,PS260714
ui.main.title,메인 페이지 제목,title,,메인,MAIN
ui.main.description,메인 페이지 설명,body,,이동할 메뉴를 선택하세요,CHOOSE A DESTINATION
ui.codex.title,도감 허브 제목,title,,도감,CODEX
ui.codex.description,도감 허브 설명,body,,적 | 캐릭터 | 기술 | 아이템 | 이벤트,ENEMIES | CHARACTERS | SKILLS | ITEMS | EVENTS
ui.roster.title,목록 페이지 제목,title,,목록,ROSTER
ui.roster.description,목록 페이지 설명,body,,보유 캐릭터,OWNED CHARACTERS
ui.roster.empty,목록 빈 상태,body,,보유 캐릭터 없음,OWNED CHARACTERS - EMPTY
ui.shop.title,상점 페이지 제목,title,,상점,SHOP
ui.shop.description,상점 페이지 설명,body,,던전 클리어 재화 상점,DUNGEON CLEAR CURRENCY SHOP
ui.shop.currency,상점 재화 표시,number,,던전 재화 - 0,DUNGEON CURRENCY - 0
ui.shop.coming_soon,상점 빈 상태,body,,상점 상품 - 준비 중,SHOP ITEMS - COMING SOON
ui.quest.title,퀘스트 페이지 제목,title,,퀘스트,QUEST
ui.quest.description,퀘스트 페이지 설명,body,,퀘스트 진행도,QUEST PROGRESS
ui.quest.empty,퀘스트 빈 상태,body,,퀘스트 목록 - 비어 있음,QUEST LIST - EMPTY
ui.storage.title,보관함 페이지 제목,title,,보관함,STORAGE
ui.storage.description,보관함 페이지 설명,body,,자원 | 소모형 아이템 | 티켓,RESOURCES | CONSUMABLE ITEMS | TICKETS
ui.settings.title,설정 페이지 제목,title,,설정,SETTINGS
ui.settings.quit_game,설정 종료 버튼,body,,게임 종료,QUIT GAME
ui.settings.quit_confirm_title,종료 확인 제목,title,,게임을 종료하시겠습니까?,QUIT GAME?
ui.settings.quit_confirm_message,종료 확인 설명,body,,정말 게임을 종료하시겠습니까?,Are you sure you want to quit?
ui.settings.tab.display,설정 탭,body,,화면,DISPLAY
ui.settings.tab.sound,설정 탭,body,,소리,SOUND
ui.settings.tab.game,설정 탭,body,,게임,GAME
ui.settings.tab.misc,설정 탭,body,,기타,MISC
ui.settings.section.display,설정 섹션,body,,화면 설정,DISPLAY SETTINGS
ui.settings.section.sound,설정 섹션,body,,소리 설정,SOUND SETTINGS
ui.settings.section.game,설정 섹션,body,,게임 설정,GAME SETTINGS
ui.settings.section.misc,설정 섹션,body,,기타 설정,MISC SETTINGS
ui.settings.resolution,화면 설정 라벨,body,,해상도,RESOLUTION
ui.settings.display_mode,화면 설정 라벨,body,,화면 모드,DISPLAY MODE
ui.settings.frame_rate,화면 설정 라벨,body,,프레임률,FRAME RATE
ui.settings.brightness,화면 설정 라벨,body,,밝기,BRIGHTNESS
ui.settings.master_volume,소리 설정 라벨,body,,전체 음량,MASTER
ui.settings.music_volume,소리 설정 라벨,body,,음악,MUSIC
ui.settings.sfx_volume,소리 설정 라벨,body,,효과음,SFX
ui.settings.ui_volume,소리 설정 라벨,body,,UI,UI
ui.settings.mute_background,소리 설정 라벨,body,,백그라운드 상태에서 음소거,MUTE WHEN GAME IS IN BACKGROUND
ui.settings.option,드롭다운 기본 항목,body,,옵션,OPTION
ui.settings.mode.fullscreen,화면 모드 선택지,body,,전체 화면,FULLSCREEN
ui.settings.mode.borderless,화면 모드 선택지,body,,테두리 없는 창,BORDERLESS
